Student_ID,Student_Name,Age,Education_Level,Course,Semester,Registered_Subjects,Learning_Goal
S00001,Allison Hill,28,Postgraduate,MSc,Semester 3,Advanced Physics; Advanced Chemistry; Advanced Mathematics; Advanced Biology,Certification Prep
S00002,Noah Rhodes,18,Undergraduate,BTech Artificial Intelligence,Semester 4,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Certification Prep
S00003,Angie Henderson,11,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,College Admission Prep
S00004,Daniel Wagner,18,Undergraduate,BTech Electronics,Semester 4,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Concept Mastery
S00005,Cristian Santos,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Research Preparation
S00006,Connie Lawrence,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Exam Preparation
S00007,Abigail Shaffer,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Revision & Practice
S00008,Gina Moore,22,Undergraduate,BTech Artificial Intelligence,Semester 2,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Exam Preparation
S00009,Gabrielle Davis,18,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Grade Improvement
S00010,Ryan Munoz,17,Diploma,Diploma in Computer Science,Semester 6,Programming Fundamentals; Data Structures; DBMS; Web Development; Computer Networks; Operating Systems,Certification Prep
S00011,Monica Herrera,17,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Research Preparation
S00012,Jamie Arnold,15,Diploma,Diploma in Electronics Engineering,Semester 4,Circuit Theory; Digital Electronics; Microprocessors; Communication Systems; Electronic Devices; Control Systems,Concept Mastery
S00013,Lisa Hensley,19,Undergraduate,BTech Computer Science,Semester 3,OOP; DBMS; Operating Systems; Computer Networks; Data Structures; Algorithms; Software Engineering; Web Technologies,Concept Mastery
S00014,Michele Williams,22,Undergraduate,BTech Computer Science,Semester 2,OOP; DBMS; Operating Systems; Computer Networks; Data Structures; Algorithms; Software Engineering; Web Technologies,Exam Preparation
S00015,Dylan Miller,26,Postgraduate,MTech Computer Science,Semester 1,Advanced Algorithms; Distributed Systems; Cloud Computing; Advanced DBMS; Advanced Operating Systems,Competitive Exam Prep
S00016,Brian Ramirez,19,Undergraduate,BTech Civil Engineering,Semester 1,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,College Admission Prep
S00017,Holly Wood,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Career Growth
S00018,Derek Zuniga,25,Postgraduate,LLM,Semester 1,Advanced Constitutional Law; International Law; Corporate Law; Human Rights Law,Exam Preparation
S00019,Lisa Jackson,20,Undergraduate,BSc Science,Semester 1,Physics; Chemistry; Mathematics; Botany; Zoology,Revision & Practice
S00020,Carla Gray,23,Postgraduate,MTech Computer Science,Semester 2,Advanced Algorithms; Distributed Systems; Cloud Computing; Advanced DBMS; Advanced Operating Systems,Grade Improvement
S00021,Margaret Hawkins DDS,17,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Skill Building
S00022,Patty Perez,15,Diploma,Diploma in Mechanical Engineering,Semester 5,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,Concept Mastery
S00023,Ethan Adams,18,Undergraduate,BCom,Semester 6,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,Career Growth
S00024,Tommy Walter,16,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Revision & Practice
S00025,Matthew Foster,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Revision & Practice
S00026,Judy Baker,17,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,College Admission Prep
S00027,Justin Baker,18,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Competitive Exam Prep
S00028,Stephanie Ross,19,Undergraduate,BTech Electronics,Semester 4,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Revision & Practice
S00029,Zachary Hicks,11,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,Skill Building
S00030,Anthony Rodriguez,24,Postgraduate,MTech Artificial Intelligence,Semester 3,Deep Learning; Reinforcement Learning; Advanced Natural Language Processing; Advanced Computer Vision; Advanced Machine Learning,Competitive Exam Prep
S00031,Rebecca Henderson,16,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Research Preparation
S00032,James Ferrell,16,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Research Preparation
S00033,Tricia Valencia,16,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,Career Growth
S00034,Nathan Maldonado,28,Postgraduate,MTech Artificial Intelligence,Semester 1,Deep Learning; Reinforcement Learning; Advanced Natural Language Processing; Advanced Computer Vision; Advanced Machine Learning,Concept Mastery
S00035,Debra Davidson,14,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Exam Preparation
S00036,Jeffrey Chavez,16,Diploma,Diploma in Civil Engineering,Semester 3,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Revision & Practice
